m49_a3_country,Country,Year,Series,Value,Note,Source
,Latvia,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Lebanon,2020,Electricity voltage,240 V,,World standards (unofficial) website
,Lesotho,2020,Electricity voltage,220 V,,World standards (unofficial) website
,Liberia,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Libya,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Liechtenstein,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Lithuania,2020,Electricity voltage,220 V,,World standards (unofficial) website
,Luxembourg,2020,Electricity voltage,120 V / 220 V,,World standards (unofficial) website
,Macau,2020,Electricity voltage,230 V,,World standards (unofficial) website
,"Macedonia, North",2020,Electricity voltage,230 V,,World standards (unofficial) website
,Madagascar,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Madeira,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Malawi,2020,Electricity voltage,220 V,,World standards (unofficial) website
,Malaysia,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Maldives,2020,Electricity voltage,220 V,,World standards (unofficial) website
,Mali,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Malta,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Marshall Islands,2020,Electricity voltage,"230 V (officially, but in practice often 240 V)",,World standards (unofficial) website
,Martinique (French overseas department),2020,Electricity voltage,230 V,,World standards (unofficial) website
,Mauritania,2020,Electricity voltage,220 V,,World standards (unofficial) website
,Mauritius,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Mayotte (French overseas department),2020,Electricity voltage,120 V,,World standards (unofficial) website
,Mexico,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Micronesia (officially: Federated States of Micronesia),2020,Electricity voltage,220 V,,World standards (unofficial) website
,Moldova,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Monaco,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Mongolia,2020,Electricity voltage,127 V,,World standards (unofficial) website
,,2020,Electricity voltage,120 V,,World standards (unofficial) website
,Montenegro,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Montserrat,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Morocco,2020,Electricity voltage,230 V,,World standards (unofficial) website
,Mozambique,,,,,
,Myanmar (formerly Burma),,,230 V,,
,Namibia,,,230 V,,
,Nauru,,,220 V,,
,Nepal,,,220 V,,
,Netherlands,,,230 V,,
,New Caledonia (French overseas collectivity),,,220 V,,
,New Zealand,,,240 V,,
,Nicaragua,,,230 V,,
,Niger,,,230 V,,
,Nigeria,,,220 V,,
,Niue,,,230 V,,
,Norfolk Island,,,120 V,,
,"North Cyprus (unrecognised, self-declared state)",,,220 V,,
,North Korea,,,230 V,,
,North Macedonia,,,230 V,,
,Northern Ireland,,,230 V,,
,Norway,,,230 V,,
,Oman,,,220 V,,
,Pakistan,,,230 V,,
,Palau,,,230 V,,
,Palestine,,,230 V,,
,Panama,,,240 V,,
,Papua New Guinea,,,230 V,,
,Paraguay,,,120 V,,
,Peru,,,230 V,,
,Philippines,,,120 V,,
,Pitcairn Islands,,,240 V,,
,Poland,,,220 V,,
,Portugal,,,220 V,,
,Puerto Rico,,,220 V,,
,Qatar,,,230 V,,
,Réunion (French overseas department),,,230 V,,
,Romania,,,230 V,,
,Russia (officially the Russian Federation),,,120 V,,
,Rwanda,,,240 V,,
,Saba,,,230 V,,
,"Saint Barthélemy (French overseas collectivity, informally also referred to as Saint Barth’s or Saint Barts)",,,230 V,,
,Saint Helena,,,220 V,,
,Saint Kitts and Nevis (officially the Federation of Saint Christopher and Nevis),,,230 V,,
,Saint Lucia,,,110 V,,
,Saint Martin (French overseas collectivity),,,230 V,,
,Saint Pierre and Miquelon (French overseas collectivity),,,230 V,,
,Saint Vincent and the Grenadines,,,230 V,,
,Samoa,,,230 V,,
,San Marino,,,220 V,,
,São Tomé and Príncipe,,,230 V,,
,Saudi Arabia,,,110 V / 230 V,,
,Scotland,,,230 V,,
,Senegal,,,230 V,,
,Serbia,,,230 V,,
,Seychelles,,,220 V,,
,Sierra Leone,,,230 V,,
,Singapore,,,230 V,,
,Sint Eustatius,,,230 V,,
,Sint Maarten,,,240 V,,
,Slovakia,,,230 V,,
,Slovenia,,,230 V,,
,Solomon Islands,,,110 V / 220 V,,
,Somalia,,,110 V,,
,"Somaliland (unrecognised, self-declared state)",,,230 V,,
,South Africa,,,230 V,,
,South Korea,,,230 V,,
,South Sudan,,,220 V,,
,Spain,,,220 V,,
,Sri Lanka,,,230 V,,
,Sudan,,,220 V,,
,Suriname,,,230 V,,
,Swaziland,,,230 V,,
,Sweden,,,230 V,,
,Switzerland,,,230 V,,
,Syria,,,127 V / 220 V,,
,"Tahiti (the largest island in French Polynesia, an overseas collectivity of France)",,,230 V,,
,Taiwan,,,230 V,,
,Tajikistan,,,230 V,,
,Tanzania,,,220 V,,
,Thailand,,,220 V,,
,Togo,,,110 V,,
,Tokelau,,,220 V,,
,Tonga,,,230 V,,
,Trinidad & Tobago,,,230 V,,
,Tunisia,,,220 V,,
,Turkey,,,230 V,,
,Turkmenistan,,,240 V,,
,Turks and Caicos Islands,,,115 V,,
,Tuvalu,,,230 V,,
,Uganda,,,230 V,,
,Ukraine,,,220 V,,
,United Arab Emirates (UAE),,,120 V,,
,United Kingdom (UK),,,230 V,,
,United States of America (USA),,,240 V,,
,United States Virgin Islands,,,230 V,,
,Uruguay,,,230 V,,
,Uzbekistan,,,230 V,,
,Vanuatu,,,120 V,,
,Vatican City,,,110 V,,
,Venezuela,,,220 V,,
,Vietnam,,,220 V,,
,Virgin Islands (British),,,230 V,,
,Virgin Islands (USA),,,230 V,,
,Wales,,,120 V,,
,Wallis and Futuna (French overseas collectivity),,,220 V,,
,West Bank,,,110 V,,
,Western Sahara,,,110 V,,
,Yemen,,,230 V,,
,Zambia,,,220 V,,
,Zimbabwe,,,230 V,,
,,,,220 V,,
,,,,230 V,,
,,,,230 V,,
,,,,230 V,,
